Model,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ALL,92.71,6.65,0.0,0.64,0.0,99.36,19.10875918740155,365.14467768210307,14.081269071271452,0.07953390793225565
TBR_2,100.0,0.0,0.0,0.0,0.0,100.0,7.013123150392739,49.18389632257458,6.146296501159668,0.11596785851244655
TBR_1,71.43,0.0,0.0,28.57,0.0,71.43,14.332856295097905,205.43076957592766,11.432131718226842,0.18245153920104892
TIR,87.81,12.04,0.0,0.16,0.0,99.85,16.32141168036411,266.3884792399261,11.634574071851423,0.09393758665601702
TAR_1,96.28,3.68,0.0,0.04,0.0,99.96000000000001,18.69371519862226,349.45498792720093,13.762234795813306,0.06403121912659086
TAR_2,98.59,1.41,0.0,0.0,0.0,100.0,24.05387588456962,578.58894507028,19.170575801591227,0.06529209426627304
