,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
0,145.49151611328125,21167.90625,145.491943359375,134.55783081054688,18105.80859375,134.55783081054688
1,145.23837280273438,21094.22265625,145.23849487304688,134.28306579589844,18031.943359375,134.28306579589844
2,144.96539306640625,21014.966796875,144.96539306640625,133.9514923095703,17943.001953125,133.9514923095703
3,144.60250854492188,20910.900390625,144.60601806640625,133.47640991210938,17815.953125,133.47640991210938
4,144.1325225830078,20774.185546875,144.1325225830078,133.18612670898438,17738.544921875,133.18612670898438
5,143.85694885253906,20694.9375,143.8573455810547,132.94146728515625,17673.43359375,132.94146728515625
6,143.61119079589844,20624.685546875,143.61297607421875,132.69224548339844,17607.232421875,132.69224548339844
7,143.35653686523438,20553.0546875,143.3633575439453,132.4333953857422,17538.603515625,132.4333953857422
8,143.1064453125,20479.5625,143.10682678222656,132.1602020263672,17466.318359375,132.1602020263672
9,142.83213806152344,20401.50390625,142.83383178710938,131.8638458251953,17388.07421875,131.8638458251953
10,142.5255889892578,20315.6796875,142.5330810546875,131.53956604003906,17302.65625,131.53956604003906
11,142.19354248046875,20222.078125,142.204345703125,131.21119689941406,17216.37890625,131.21119689941406
12,141.8760986328125,20128.87109375,141.87625122070312,130.89199829101562,17132.71484375,130.89199829101562
13,141.55905151367188,20039.751953125,141.56182861328125,130.57208251953125,17049.068359375,130.57208251953125
14,141.25146484375,19951.9765625,141.25146484375,130.25033569335938,16965.15234375,130.25033569335938
15,140.9435577392578,19865.095703125,140.94358825683594,129.9188995361328,16878.919921875,129.9188995361328
16,140.6211395263672,19775.796875,140.62643432617188,129.56590270996094,16787.32421875,129.56590270996094
17,140.28521728515625,19679.94140625,140.28521728515625,129.18600463867188,16689.0234375,129.18600463867188
18,139.91366577148438,19575.853515625,139.91372680664062,128.77764892578125,16583.681640625,128.77764892578125
19,139.50672912597656,19462.427734375,139.50779724121094,128.33905029296875,16470.912109375,128.33905029296875
20,139.0534210205078,19339.1484375,139.0652618408203,127.8719711303711,16351.2392578125,127.87196350097656
21,138.58773803710938,19206.583984375,138.5878143310547,127.3832778930664,16226.501953125,127.38328552246094
22,138.0841522216797,19068.666015625,138.08934020996094,126.8902816772461,16101.142578125,126.8902816772461
23,137.58302307128906,18929.09765625,137.5830535888672,126.39928436279297,15976.7783203125,126.39928436279297
24,137.05355834960938,18784.875,137.05792236328125,125.88365173339844,15846.693359375,125.88365173339844
25,136.48399353027344,18628.33984375,136.4856719970703,125.31644439697266,15704.2109375,125.31644439697266
26,135.8557586669922,18457.529296875,135.85848999023438,124.70454406738281,15551.224609375,124.70454406738281
27,135.1946563720703,18277.740234375,135.1951904296875,124.09635162353516,15399.904296875,124.09635162353516
28,134.54922485351562,18103.533203125,134.54937744140625,123.53466796875,15260.814453125,123.53466796875
29,133.96139526367188,17945.658203125,133.96139526367188,123.03993225097656,15138.8251953125,123.03993225097656
30,133.4499969482422,17809.294921875,133.4514617919922,122.60382843017578,15031.69921875,122.60382843017578
31,132.99636840820312,17688.5078125,132.99815368652344,122.20132446289062,14933.1640625,122.20132446289062
32,132.57655334472656,17577.79296875,132.58126831054688,121.81512451171875,14838.9248046875,121.81512451171875
33,132.178466796875,17471.15234375,132.17848205566406,121.43775939941406,14747.130859375,121.43775939941406
34,131.7853546142578,17368.33203125,131.78897094726562,121.07341003417969,14658.7705078125,121.07341003417969
35,131.41131591796875,17268.935546875,131.41131591796875,120.72875213623047,14575.4306640625,120.72875213623047
36,131.0482635498047,17174.3046875,131.05076599121094,120.4025650024414,14496.7783203125,120.4025650024414
37,130.7062225341797,17084.18359375,130.70648193359375,120.0841293334961,14420.19921875,120.0841293334961
38,130.3726043701172,16997.23046875,130.37342834472656,119.77250671386719,14345.4541015625,119.77250671386719
39,130.05670166015625,16914.81640625,130.05697631835938,119.47721862792969,14274.8056640625,119.47721862792969
40,129.7585906982422,16837.333984375,129.75875854492188,119.19639587402344,14207.7802734375,119.19639587402344
41,129.4669189453125,16762.685546875,129.47079467773438,118.91449737548828,14140.658203125,118.91449737548828
42,129.17575073242188,16687.0625,129.17840576171875,118.62197875976562,14071.173828125,118.62197875976562
43,128.87521362304688,16608.865234375,128.87538146972656,118.32024383544922,13999.6806640625,118.32024383544922
44,128.5614471435547,16528.939453125,128.56492614746094,118.01746368408203,13928.12109375,118.01746368408203
45,128.25076293945312,16448.501953125,128.251708984375,117.71450805664062,13856.7060546875,117.71450805664062
46,127.93128967285156,16367.427734375,127.93524932861328,117.41044616699219,13785.212890625,117.41044616699219
47,127.62202453613281,16287.9140625,127.62411499023438,117.1201400756836,13717.126953125,117.1201400756836
48,127.32640075683594,16212.5400390625,127.3284683227539,116.84021759033203,13651.63671875,116.84021759033203
49,127.03482818603516,16139.2451171875,127.04032897949219,116.56224060058594,13586.7568359375,116.56224060058594
50,126.75011444091797,16065.619140625,126.7502212524414,116.27497863769531,13519.87109375,116.27497863769531
51,126.44683837890625,15988.8291015625,126.44693756103516,115.96856689453125,13448.7080078125,115.96856689453125
52,126.1273193359375,15908.2724609375,126.12799835205078,115.6471939086914,13374.2744140625,115.6471939086914
53,125.79293060302734,15825.7158203125,125.80030059814453,115.32890319824219,13300.7568359375,115.32890319824219
54,125.48015594482422,15745.3505859375,125.48047637939453,115.02293395996094,13230.2763671875,115.02293395996094
55,125.16983032226562,15667.4990234375,125.16987609863281,114.72335052490234,13161.4482421875,114.72335052490234
56,124.86029052734375,15590.27734375,124.86103057861328,114.41932678222656,13091.7822265625,114.41932678222656
57,124.52922058105469,15509.998046875,124.53913879394531,114.102294921875,13019.3330078125,114.102294921875
58,124.20446014404297,15426.861328125,124.20491790771484,113.77816009521484,12945.470703125,113.77816009521484
59,123.86016845703125,15341.34375,123.86017608642578,113.4510726928711,12871.1455078125,113.4510726928711
60,123.51164245605469,15255.1337890625,123.51167297363281,113.12191009521484,12796.5673828125,113.12191009521484
61,123.16543579101562,15170.107421875,123.1669921875,112.79960632324219,12723.751953125,112.79960632324219
62,122.83387756347656,15088.8681640625,122.83675384521484,112.49128723144531,12654.2900390625,112.49128723144531
63,122.52159881591797,15011.6982421875,122.52223205566406,112.19717407226562,12588.2060546875,112.19717407226562
64,122.21663665771484,14938.5078125,122.22319030761719,111.90795135498047,12523.3896484375,111.90795135498047
65,121.92449951171875,14866.0791015625,121.92652893066406,111.61380004882812,12457.6416015625,111.61380004882812
66,121.61070251464844,14791.42578125,121.62000274658203,111.30985260009766,12389.8828125,111.30985260009766
67,121.30406188964844,14715.109375,121.30585479736328,111.00012969970703,12321.029296875,111.00012969970703
68,120.98164367675781,14637.716796875,120.9864273071289,110.6986083984375,12254.1826171875,110.6986083984375
69,120.67018127441406,14561.6435546875,120.67163848876953,110.4013900756836,12188.466796875,110.4013900756836
70,120.35049438476562,14484.7724609375,120.35269927978516,110.09608459472656,12121.1484375,110.09608459472656
71,120.02531433105469,14406.0771484375,120.02531433105469,109.78414154052734,12052.5576171875,109.78414154052734
72,119.694580078125,14327.7470703125,119.69856262207031,109.4828109741211,11986.486328125,109.4828109741211
73,119.38703155517578,14253.388671875,119.38755798339844,109.20492553710938,11925.716796875,109.20492553710938
74,119.09630584716797,14184.904296875,119.10039520263672,108.9451675415039,11869.048828125,108.9451675415039
75,118.83185577392578,14121.35546875,118.83330535888672,108.69464111328125,11814.525390625,108.69464111328125
76,118.57347106933594,14059.669921875,118.57347869873047,108.44886779785156,11761.1572265625,108.44886779785156
77,118.31826782226562,13999.2490234375,118.31842041015625,108.20551300048828,11708.4326171875,108.20551300048828
78,118.0625228881836,13939.3125,118.06486511230469,107.96393585205078,11656.2119140625,107.96393585205078
79,117.79578399658203,13880.408203125,117.81513977050781,107.72395324707031,11604.4501953125,107.72395324707031
80,117.56263732910156,13821.3837890625,117.56438446044922,107.48542022705078,11553.115234375,107.48542022705078
81,117.31672668457031,13763.2177734375,117.31674194335938,107.24833679199219,11502.2060546875,107.24833679199219
82,117.06888580322266,13705.47265625,117.07037353515625,107.01268768310547,11451.71484375,107.01268768310547
83,116.82408905029297,13648.1103515625,116.82512664794922,106.77838897705078,11401.625,106.77838897705078
84,116.58067321777344,13591.1455078125,116.58106994628906,106.5454330444336,11351.9287109375,106.5454330444336
85,116.33340454101562,13534.7353515625,116.33888244628906,106.31371307373047,11302.6064453125,106.31371307373047
86,116.09715270996094,13478.595703125,116.09735107421875,106.08317565917969,11253.640625,106.08317565917969
87,115.85707092285156,13422.8837890625,115.85717010498047,105.85384368896484,11205.0361328125,105.85384368896484
88,115.60675048828125,13367.3935546875,115.61744689941406,105.62562561035156,11156.7734375,105.62562561035156
89,115.37886047363281,13312.63671875,115.3803939819336,105.39855194091797,11108.8544921875,105.39855194091797
90,115.14228057861328,13257.9345703125,115.14310455322266,105.1725082397461,11061.2568359375,105.1725082397461
91,114.90380096435547,13203.6591796875,114.90717315673828,104.94744873046875,11013.966796875,104.94744873046875
92,114.66780853271484,13149.7978515625,114.67256927490234,104.72333526611328,10966.9765625,104.72333526611328
93,114.43281555175781,13096.458984375,114.43975830078125,104.50019836425781,10920.2919921875,104.50019836425781
94,114.20423126220703,13042.9853515625,114.20588684082031,104.27796936035156,10873.89453125,104.27796936035156
95,113.97415161132812,12990.1259765625,113.97423553466797,104.05660247802734,10827.7763671875,104.05660247802734
96,113.74268341064453,12937.53515625,113.7432861328125,103.83606719970703,10781.9296875,103.83606719970703
97,113.51190948486328,12885.2578125,113.51325225830078,103.61642456054688,10736.36328125,103.61642456054688
