,loss,mean_squared_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_root_mean_squared_error
113,54.54140853881836,2975.603271484375,54.54909133911133,54.05373001098633,2930.68310546875,54.13578414916992
114,54.41883087158203,2962.935791015625,54.43285369873047,53.9259147644043,2916.70654296875,54.00654220581055
115,54.3067626953125,2950.60400390625,54.319461822509766,53.80067443847656,2903.09033203125,53.880332946777344
116,54.20450973510742,2938.7685546875,54.210411071777344,53.671302795410156,2889.1142578125,53.75048065185547
117,54.089317321777344,2926.95068359375,54.10129928588867,53.533443450927734,2874.40478515625,53.61347579956055
118,53.98263168334961,2915.321044921875,53.99371337890625,53.41901397705078,2861.950439453125,53.49720001220703
119,53.87773132324219,2903.76708984375,53.88661193847656,53.29569625854492,2848.715576171875,53.37335968017578
120,53.77394485473633,2892.621337890625,53.78309631347656,53.174476623535156,2835.7900390625,53.25213623046875
121,53.67656326293945,2882.028564453125,53.68452835083008,53.06378173828125,2823.91259765625,53.140499114990234
122,53.56666564941406,2871.27783203125,53.58430480957031,52.94951248168945,2811.722412109375,53.02567672729492
123,53.4832878112793,2861.271240234375,53.49085235595703,52.83611297607422,2799.738525390625,52.91255569458008
124,53.38447570800781,2851.0703125,53.39541244506836,52.74494552612305,2789.876953125,52.81928634643555
125,53.29219055175781,2841.340087890625,53.304222106933594,52.64120101928711,2778.88525390625,52.71513366699219
126,53.203651428222656,2831.513427734375,53.21196746826172,52.525508880615234,2766.7861328125,52.60024642944336
127,53.10299301147461,2821.89599609375,53.12152099609375,52.429508209228516,2756.568603515625,52.50303268432617
128,53.01491928100586,2812.4833984375,53.03285217285156,52.333229064941406,2746.390869140625,52.4060173034668
129,52.93861389160156,2803.2890625,52.94609451293945,52.22562789916992,2735.189453125,52.29903793334961
130,52.8477668762207,2794.138671875,52.85961151123047,52.145084381103516,2726.551025390625,52.21638488769531
131,52.757869720458984,2784.947509765625,52.77260208129883,52.04199981689453,2715.80859375,52.11341857910156
132,52.671539306640625,2776.28271484375,52.6904411315918,51.93930435180664,2705.190673828125,52.01144790649414
133,52.591102600097656,2767.143798828125,52.6036491394043,51.8533821105957,2696.12744140625,51.92424774169922
134,52.51398849487305,2758.59228515625,52.522300720214844,51.77141189575195,2687.488037109375,51.84098815917969
135,52.4298210144043,2750.601318359375,52.44617462158203,51.68815612792969,2678.773681640625,51.75687026977539
136,52.350345611572266,2741.594482421875,52.36023712158203,51.58051300048828,2667.715087890625,51.649925231933594
137,52.27283477783203,2733.05615234375,52.27863693237305,51.484378814697266,2657.864501953125,51.554481506347656
138,52.19182205200195,2724.68115234375,52.19847869873047,51.40705108642578,2649.73583984375,51.4755859375
139,52.1057243347168,2716.48095703125,52.119869232177734,51.320457458496094,2640.7890625,51.388607025146484
140,52.03231430053711,2708.28759765625,52.04121017456055,51.227359771728516,2631.2509765625,51.295719146728516
141,51.95806121826172,2700.215087890625,51.963592529296875,51.14114761352539,2622.39453125,51.209320068359375
