Age,Sex,Number_of_biochemical_parameters,Number_of_diagnostics,0000 - 0600 Average,0600 - 1300 Average,1300 - 1600 Average,1600 - 2000 Average,2000 - 2400 Average,0000 - 0600 Hypo,0600 - 1300 Hypo,1300 - 1600 Hypo,1600 - 2000 Hypo,2000 - 2400 Hypo,0000 - 0600 Hyper,0600 - 1300 Hyper,1300 - 1600 Hyper,1600 - 2000 Hyper,2000 - 2400 Hyper,Total_hypo,Total_hyper,0000 - 0600 STD,0000 - 0600 MIN,0000 - 0600 MAX,0600 - 1300 STD,0600 - 1300 MIN,0600 - 1300 MAX,1300 - 1600 STD,1300 - 1600 MIN,1300 - 1600 MAX,1600 - 2000 STD,1600 - 2000 MIN,1600 - 2000 MAX,2000 - 2400 STD,2000 - 2400 MIN,2000 - 2400 MAX,Model
46.8,0.6,123.9,3.2,146.4,147.1,141.9,149.5,150.8,343.2,375.9,157.0,212.9,175.9,1488.6,1785.6,667.9,1119.3,1020.4,1483.8,7199.5,49.4,47.0,350.3,51.4,48.0,358.9,48.8,51.9,338.1,52.8,49.9,359.4,50.9,50.4,355.0,SOM_K2_data_V1_0
41.4,0.5,113.6,3.3,171.3,167.6,167.8,175.0,180.9,534.5,644.9,239.0,317.1,227.1,3785.5,4509.0,1896.1,2811.3,2720.0,2368.4,18334.7,66.4,44.6,448.2,65.6,44.4,446.6,65.7,48.3,438.4,70.8,46.7,459.1,70.4,46.5,458.8,SOM_K2_data_V1_0
43.7,0.5,113.1,3.8,177.1,174.4,175.8,183.9,187.8,383.0,482.1,162.7,225.0,154.2,3232.2,3935.3,1722.9,2494.4,2344.5,1726.4,15941.8,68.7,46.0,437.3,69.1,45.7,442.2,69.2,49.6,430.8,74.4,49.2,450.0,73.8,47.8,450.2,Gauss_K2_data_V1_1
43.7,0.5,120.8,3.0,151.2,149.9,145.7,152.8,156.6,489.5,553.5,226.0,298.0,233.2,2537.5,2983.1,1160.1,1841.2,1777.5,2127.6,12122.5,53.6,45.4,387.9,54.0,46.2,389.6,52.2,50.0,374.6,56.6,47.4,396.6,55.3,48.4,393.2,Gauss_K2_data_V1_1
43.4,0.5,116.1,3.2,158.1,157.0,154.7,161.3,163.9,435.0,513.7,199.5,271.5,219.6,2577.6,3009.5,1212.8,1891.5,1783.6,1953.5,12271.7,57.9,45.8,401.1,58.6,45.6,406.1,57.5,49.3,391.3,61.5,47.6,412.6,60.2,47.8,412.5,Kmeans_K3_data_V1_0
47.2,0.6,122.6,3.3,142.1,142.5,136.8,145.3,146.1,286.6,297.2,130.0,165.5,144.2,1146.5,1367.7,482.4,870.7,760.9,1190.7,5513.6,45.9,47.7,329.1,47.5,49.1,337.0,44.6,53.1,314.0,48.9,51.1,338.2,47.0,51.7,329.4,Kmeans_K3_data_V1_0
41.4,0.5,116.9,3.3,177.8,173.6,174.1,181.9,189.8,601.2,726.6,265.6,355.2,233.1,4339.2,5262.4,2242.7,3255.4,3189.9,2642.5,21309.4,70.7,43.8,471.3,69.9,44.1,467.3,70.2,48.1,462.4,75.9,46.4,480.4,75.9,45.9,481.0,Kmeans_K3_data_V1_0
47.0,0.6,111.3,3.0,137.0,138.6,133.6,141.7,141.4,225.7,249.1,113.4,128.5,124.5,736.3,920.6,310.9,585.7,516.9,976.9,3680.1,42.8,48.4,308.3,44.7,50.3,322.1,42.0,54.1,295.0,46.0,51.9,316.9,44.0,52.7,310.4,Kmeans_K4_data_V1_0
40.7,0.5,116.2,3.1,180.1,175.5,175.7,183.6,191.9,602.1,736.6,266.8,346.3,233.7,4444.0,5377.9,2286.6,3327.6,3237.3,2655.3,21764.7,71.9,43.8,475.4,71.2,44.1,475.5,71.3,48.0,465.7,77.0,46.4,481.4,77.0,45.9,483.9,Kmeans_K4_data_V1_0
42.1,0.5,113.0,3.5,162.1,159.5,160.6,167.2,170.1,444.9,527.2,200.0,273.2,209.8,3043.0,3533.7,1477.1,2246.2,2151.6,1982.3,14508.2,60.4,45.6,416.6,59.9,45.1,414.6,60.0,48.9,410.1,64.7,47.1,436.6,63.7,47.3,433.2,Kmeans_K4_data_V1_0
46.9,0.5,129.7,3.4,150.8,151.4,144.4,151.9,154.4,424.7,463.3,190.0,271.3,213.5,1888.2,2258.0,840.5,1389.7,1276.1,1836.2,9070.0,52.8,46.0,373.8,54.7,46.7,378.8,51.8,50.6,358.1,55.7,48.8,377.9,54.0,49.1,375.0,Kmeans_K4_data_V1_0
39.9,0.5,117.1,3.4,184.3,179.5,180.4,189.0,196.8,538.9,699.3,232.8,301.7,207.2,4846.9,5882.4,2520.7,3659.2,3515.0,2446.5,23785.9,74.9,43.5,485.2,73.9,43.6,488.9,74.0,47.6,477.4,79.7,46.2,486.9,79.8,45.6,490.9,Kmeans_K5_data_V1_0
46.3,0.5,116.5,3.0,133.4,135.8,131.5,138.9,138.5,223.5,246.8,94.8,110.6,105.2,684.8,867.0,312.5,584.0,534.9,933.0,3537.6,40.7,48.3,300.8,43.0,49.9,318.3,40.4,54.2,289.5,44.2,52.0,308.7,42.3,52.5,304.4,Kmeans_K5_data_V1_0
42.1,0.5,116.2,3.0,158.4,154.8,155.1,161.9,165.0,476.0,604.1,227.6,290.1,239.0,2810.3,3207.0,1328.9,2065.8,1986.9,2213.1,13276.9,58.7,45.5,406.7,58.5,45.0,408.7,57.4,48.6,394.9,62.1,46.8,418.8,61.1,47.8,421.2,Kmeans_K5_data_V1_0
47.0,0.6,122.0,3.5,150.3,152.1,144.4,152.1,153.9,371.2,372.8,162.6,239.2,192.4,1652.9,2011.1,725.9,1226.0,1081.9,1548.3,7983.0,52.0,46.6,365.3,54.0,47.7,368.5,51.2,51.1,348.6,55.0,49.5,370.6,53.1,49.9,363.2,Kmeans_K5_data_V1_0
43.8,0.5,117.5,3.4,170.1,166.8,166.3,173.2,179.5,574.2,629.7,259.8,357.8,233.3,3523.0,4226.2,1754.9,2576.2,2538.8,2424.6,17090.5,64.4,44.9,444.1,64.1,45.1,437.9,64.7,49.5,438.9,69.9,47.5,466.3,69.4,46.3,460.7,Kmeans_K5_data_V1_0
